Nama,Posisi,Umur,Overall_Rating,Potential
S. Otoa,CB,21,67,74
Bryan Zaragoza,LW,23,77,83
J. Spileers,CB,20,69,82
M. Godo,LM,22,74,82
M. Sonko,LM,20,67,78
Nacho Ferri,ST,20,68,78
S. Armstrong,ST,22,68,78
C. Keita,CB,22,70,78
Alberto Flores,GK,21,65,77
Pablo Marín,CM,21,73,82
T. Ayari,RM,20,63,74
B. Gruda,CAM,21,75,85
T. Momuluh,RM,23,68,74
Gonçalo Borges,RW,24,71,74
T. Iroegbunam,CDM,22,76,80
A. Gómez,RM,22,73,82
M. Delorge,CM,20,73,83
E. Destan,ST,23,68,77
N. Rossen,CM,20,66,76
B. Gannon-Doak,RM,19,71,84
Cho Wi Je,CB,23,69,77
G. Benedetti,LB,24,74,77
M. Galarza,CDM,23,73,81
Luís Esteves,CM,27,74,74
A. Freeman,RB,20,73,81
T. Campbell,LM,21,68,76
Pablo Torre,CAM,22,74,82
S. Abramowicz,GK,21,69,77
L. Noubi,CB,20,69,80
T. Rothe,LB,20,73,81
D. Kyerewaa,LM,24,66,69
K. Kelsy,ST,20,66,75
T. Gillier,GK,21,67,79
Vinícius Tobías,RB,21,71,81
M. Tel,ST,20,77,85
M. Backhaus,GK,21,75,84
A. Barišić,CB,23,72,77
D. Bobadilla,CM,23,73,78
A. Daghim,RM,19,72,80
A. Diouf,CM,22,75,81
J. Feeney,CB,20,64,77
F. Marschall,GK,22,66,74
J. Erabi,ST,22,68,77
J. Ordoñez,CB,21,76,86
J. Belocian,CB,20,70,81
S. Nypan,CM,18,70,86
M. Broholm,RM,20,69,79
Mario Gila,CB,24,81,84
H. Larsson,CM,21,77,85
M. Rakneberg,LB,23,65,72
I. Cissoko,LM,22,68,77
L. Yoro,CB,19,78,86
K. Mainoo,CDM,20,79,85
A. Gaaei,RB,22,71,78
D. Coppola,CB,21,74,80
A. Raimondo,ST,21,69,79
D. Murkin,LB,25,69,72
G. Prestianni,RW,19,73,85
T. Baldanzi,CAM,22,74,80
Leonardo Lelo,LM,25,76,77
B. Domínguez,LM,21,73,83
S. Hidalgo,RW,20,70,81
J. Bahoya,LM,20,75,85
A. Zehnter,LB,20,74,80
A. Segovia,RM,21,62,71
R. Schneider,CM,23,66,71
25 H. Wood,RM,19,59,79
Mateo Joseph,ST,21,72,82
D. Gyabi,CM,21,68,79
Z. Hawsawi,LB,24,66,71
D. Luna,LM,21,72,79
E. Tchato,RB,22,70,78
W. Osula,ST,21,73,81
F. Bayır,CB,25,65,70
O. Aydın,LW,24,74,77
L. Dobbin,LM,22,71,80
M. Viti,CB,23,71,80
Carmona,RB,23,77,83
Juanlu Sánchez,RB,21,75,81
A. Devine,CAM,20,73,84
G. Lagerbielke,CB,25,73,77
Y. Baas,CB,22,77,84
Gavi,CM,20,83,87
25 B. Young,ST,21,62,70
M. Løvik,LB,21,66,76
N. Ødegård,CM,21,64,75
C. Zafeiris,CM,22,76,83
J. McAtee,RM,22,73,81
J. Gorby,CDM,22,72,80
M. Abline,ST,22,76,82
Gabri Martínez,LM,22,74,81
É. Youté Kinkoué,CB,23,71,77
Yeremay,LM,22,76,84
N. Laquintana,RW,26,69,69
M. Amoura,ST,25,80,83
M. Mahmoud,CDM,25,67,72
F. Ferraro,LB,22,68,77
G. Gent,LB,21,64,74
A. Gabriel,RB,24,66,71
M. Akliouche,CAM,23,80,86
E. Jelert,RB,22,72,77
H. Vale,LM,21,68,76
J. Bakayoko,RW,22,77,84
O. Fraulo,CDM,21,69,78
Unai Marrero,GK,23,72,79
T. Le Bris,RM,22,73,80
D. Ouattara,RM,23,78,82
I. Akhomach,RW,21,75,83
25 S. Vignato,ST,20,60,74
R. Bardghji,RW,19,74,85
D. Riznyk,GK,26,74,78
K. Abrefa,RB,21,64,71
Saúl Coco,CB,26,76,79
M. Soulé,CAM,22,79,85
M. Olesen,CM,24,66,70
Ferran Jutglà,ST,26,75,75
T. Gaal,CB,24,67,73
A. Fatah,LM,21,64,76
Gerard Yepes,CM,22,70,79
P. Pagis,CAM,22,73,81
J. Gómez,LB,21,65,75
J. Tomkinson,CB,23,63,69
J. Njinmah,ST,24,72,77
Kim Shin Jin,ST,23,58,63
A. Ibrahimović,LM,19,72,83
P. Wanner,CAM,19,75,86
Fresneda,RB,20,75,83
M. Adeline,CM,21,68,78
F. Magri,ST,25,72,75
A. Abdulai,LM,22,63,68
Gonçalo Borges,RW,24,71,74
T. Iroegbunam,CDM,22,76,80
A. Gómez,RM,22,73,82
K. Tobiasz,GK,22,66,73
M. Epolo,GK,20,75,85
S. Abu Al Shamat,LM,22,64,73
I. Chaira,LW,24,73,76
J. Le Cardinal,CB,27,74,76
P. Rommens,CDM,27,70,71
André Franco,RM,27,72,72
Chiquinho,LM,25,72,73
D. Albu,CDM,24,65,67
S. El Karouani,LB,24,76,80
Turrientes,CM,23,76,82
L. McCowan,CM,27,73,73
M. Ljubičić,ST,23,70,77
K. Corredor,LM,24,73,76
K. Karataş,LB,22,67,72
G. Mamardashvili,GK,24,83,86
L. Stassin,ST,20,75,83
P. Treu,RB,24,74,77
J. Makengo,LB,23,72,76
M. Grzybek,RB,29,64,64
P. Loretz,GK,22,72,82
R. Ríos,CM,25,78,82
A. Zorgane,CDM,25,79,81
Vinicius Souza,CDM,26,75,78
J. Tchatchoua,RB,23,74,79
L. Kehl,CAM,23,68,75
M. de Wit,LB,27,70,70
I. Baldé,ST,22,67,74
M. Senaya,RB,24,70,75
J. Makama,ST,21,69,76
Antoniu Roca,RM,22,73,76
D. Greif,GK,28,80,82
J. Gómez,RM,23,67,73
N. Djiga,CB,22,70,78
Z. Al Johani,CDM,23,67,74
22 P. Tzimas,CAM,20,64,74
W. Swedberg,LW,21,75,82
M. Pellegrino,ST,23,69,75
Y. Cathline,LW,22,74,83
25 S. Lončar,CDM,27,69,69
Paulo Bernardo,CM,23,72,79
B. Leyes,CDM,23,70,77
A. Kamara,CM,20,63,74
A. Sández,LB,24,73,76
J. Sarmiento,LM,23,70,78
Beñat Prados,CDM,24,77,82
R. Lavia,CDM,21,78,85
A. Milambo,CM,20,73,85
Benchimol,ST,23,64,71
26 Andrew,GK,24,76,82
E. Mancuso,RB,26,74,75
22 Thaciano,CM,26,68,69
22 G. Ratcliffe,GK,20,61,73
V. Lind,LM,22,69,76
Roger Fernandes,LM,19,76,85
26 J. Orozco Chiquete,CB,23,72,82
Miguel Puche,LM,24,67,70
Agirrezabala,GK,24,76,81
F. Bayır,CB,25,65,70
Juan Iglesias,RB,26,76,77
N. Dorgeles,RW,22,74,82
D. Guindo,LB,22,70,75
N. Ohio,ST,22,67,76
Alvyn Sanches,CAM,22,73,82
21 L. Rey,CB,17,58,74
Yang Hyun Jun,RW,23,72,78
M. Geschwill,CB,23,67,73
İ. Yüksek,CDM,26,77,79
Eom Ji Sung,LM,23,71,77
J. Bos,LB,22,74,82
R. Khadra,CAM,23,71,77
L. Assignon,RB,25,75,80
25 O. Campos,LB,21,71,78
B. Šeško,ST,22,80,87
E. Zeballos,LW,23,76,81
B. Norton-Cuffy,RB,21,74,80
S. Adingra,LW,23,76,82
G. Kochorashvili,CM,26,74,77
L. Engel,LB,26,70,70
Z. Van Den Bosch,CB,21,75,85
D. Fofana,ST,22,72,80
J. Casimir,RM,23,71,76
B. Gutiérrez,CAM,22,72,82
D. Scarlett,ST,21,65,76
Z. Inoussa,LM,23,70,76
Francisco Conceição,CAM,22,79,86
Lee Tae Seok,LB,22,69,75
A. Costa,CB,25,75,77
A. Kozubal,CM,20,70,82
M. Sellouki,CM,25,67,70
D. Špikić,RW,26,69,69
J. López,ST,24,79,82
J. Malatini,CB,24,69,76
22 Y. Miyamoto,CDM,21,57,66
J. Philogene,LM,23,76,82
C. Webster,CM,21,63,74
25 Kang Seong Jin,RM,21,62,68
Nazinho,LB,21,68,78
A. Omobamidele,CB,23,73,78
S. Lynen,CDM,26,76,79
M. Sahi,ST,23,69,74
Miguel Gutiérrez,LB,23,81,85
Antonio Blanco,CDM,24,76,81
A. Engwanda,CDM,22,70,79
M. Sankoh,ST,21,63,73
M. Estève,CB,23,76,82
W. Mikelbrencis,RB,21,69,80
Metinho,CDM,22,69,80
H. Haraldsson,CAM,22,78,83
S. Pattynama,LB,26,65,66
N. Zalewski,LM,23,77,79
A. Ba,RW,21,65,68
E. Bove,CM,23,74,79
H. Matriciani,RB,25,64,66
M. Winkler,RM,22,69,76
L. Valente,CM,21,77,84
A. Sangante,CB,23,74,80
K. Tobiasz,GK,22,66,73
O. Sørensen,CM,23,72,77
B. Brahimi,RW,25,72,73
F. Ioannidis,ST,25,77,80
E. Meza,RB,26,72,72
J. Aude,LB,22,67,75
J. Hadjam,LB,22,69,77
Ș. Bodișteanu,LM,22,65,74
C. Özkacar,CB,24,71,76
E. Matazo,CDM,23,71,77
Leo Román,GK,24,77,83
F. Jörgensen,GK,23,77,83
C. Riad,CB,22,72,81
Obrador,LB,21,69,77
Diego Conde,GK,26,76,79
N. Banegas,LB,28,69,69
I. Pandur,GK,25,72,77
M. Sangaré,CM,23,80,87
Carlos Augusto,LB,26,81,82
I. Ilić,CDM,24,75,80
L. Sučić,CM,22,76,81
I. Zabarnyi,CB,22,80,85
24 João Victor,CB,24,73,80
S. Drljača,GK,26,66,70
W. Gnonto,LW,21,74,81
T. Arokodare,ST,24,76,79
Arribas,CAM,23,77,83
J. Almada Monteiro,LM,25,72,73
H. Roberts,LB,23,67,74
L. Hornicek,GK,22,75,83
Aimar Oroz,CAM,23,77,82
Jofre,RW,24,73,75
C. Jones,CM,24,61,66
M. Fofana,CM,24,66,71
F. Parisi,LB,24,75,80
25 K. Çalhanoğlu,LB,21,66,73
F. Boyomo,CB,23,79,85
Rodrigo Gomes,LW,21,73,82
I. Moriba,CM,22,78,83
S. Mele,GK,27,74,77
M. Gusto,RB,22,79,84
T. Leoni,CDM,25,72,76
26 Patrick de Paula,CDM,25,71,76
R. Apter,RM,22,68,77
Aitor Paredes,CB,25,78,81
K. Cabrera,CAM,22,71,78
Y. Bonny,ST,21,78,86
H. Siquet,RM,22,70,78
J. Hettwer,LW,22,68,75
M. Stamenić,CDM,23,71,76
Mingueza,RB,26,80,81
D. Svensson,LB,23,79,83
J. Aramburu,RB,22,77,83
N. Eile,CB,22,68,77
Y. Vertessen,ST,24,72,76
26 K. Smith,CB,20,58,66
O. Hutchinson,RM,21,76,84
Juan Iglesias,RB,26,76,77
N. Dorgeles,RW,22,74,82
D. Guindo,LB,22,70,75
26 L. Justiniano,CB,23,61,70
Z. Suzuki,GK,22,74,80
26 J. Pérez,RM,22,59,66
M. Núñez,CAM,25,73,76
M. Caicedo,CDM,23,88,90
L. Samardžić,CAM,23,77,82
W. Bøving,ST,22,71,78
26 R. Rivas,LB,22,68,78
W. Pacho,CB,23,88,90
Francho Serrano,CM,23,70,77
Z. Gilsenan,LM,22,59,66
M. Fofana,LM,20,78,86
H. Falchener,CB,22,69,80
J. Daland,CB,25,71,74
M. Cho,RW,21,75,82
N. Collins,CB,21,74,83
22 T. D'Almeida,CDM,20,56,67
J. Ngankam,ST,24,69,74
Y. Mosquera,CB,24,72,78
J. Justvan,CAM,27,73,73
M. Keller,GK,22,72,81
T. Bech,RW,23,71,74
J. Kjær,RW,21,67,79
A. Truffert,LB,23,79,83
S. Nanasi,CAM,23,75,82
I. Boura,LB,24,69,74
T. Booth,RW,24,68,73
C. Widell,CB,22,69,77
Gonçalo Ramos,ST,24,80,84
A. Şimşir,LW,23,76,82
E. Martel,CDM,23,76,81
Tiago Tomás,LM,23,76,82
J. Kadile,LM,22,70,79
C. Gilligan,CM,23,60,67
M. Kvistgaarden,ST,23,72,77
Gonçalo Inácio,CB,23,81,86
A. Jashari,CDM,22,77,86
A. Stach,CM,26,79,80
M. Balikwisha,LW,24,74,77
B. Thomas,CB,24,73,79
L. Gourna-Douath,CDM,21,69,79
A. Theate,CB,25,78,83
M. Rittmüller,RB,26,66,67
W. Bondo,CM,21,71,78
M. Robin,CM,25,66,67
25 K. Evans,CAM,22,58,67
B. El Khannouss,CAM,21,78,84
S. Roughan,CB,22,65,72
C. Palmer,CAM,23,86,89
S. Mara,ST,22,70,77
R. Strączek,GK,26,66,69
G. Frabotta,LB,26,68,70
J. Juranović,RB,29,73,73
E. Lira,CDM,25,75,80
M. Brescianini,CM,25,72,75
N. Patterson,RB,23,71,76
M. Schroers,LM,23,67,73
R. Reitz,CM,23,77,83
O. Sørensen,CM,23,72,77
B. Brahimi,RW,25,72,73
J. Kamiński,LM,23,77,82
A. Terzić,LB,25,70,73
W. Singo,CB,24,78,84
C. Ramsay,RB,21,65,73
Antonio Sánchez,RM,28,73,73
Borja Sainz,LW,24,77,80
G. Raspadori,ST,25,78,81
Ansu Fati,LM,22,75,81
22 E. Al Muwallad,CDM,22,55,65
F. Tsadjout,ST,25,68,70
J. Veerman,CM,26,81,82
Matheus Nunes,RB,26,82,83
M. Trésor,LM,26,73,73
R. Araujo,CB,26,81,84
M. Ugarte,CDM,24,78,82
Giuliano,RM,22,82,86
L. Cundle,CAM,23,69,74
T. Mengi,CB,23,69,77
S. Ricci,CDM,23,79,85
J. O'Brien,RB,24,76,81
C. Makridis,LM,28,66,66
L. Provod,CAM,28,79,79
L. Hjelde,LB,21,66,74
C. Campbell,LM,22,63,67
E. Just,CAM,25,69,72
Anderson Oliveira,LM,26,75,75
M. Mohamed,ST,27,71,71
L. Thomas,LB,24,68,71
R. Jones,ST,22,68,72
26 Reinier,CAM,23,70,77
S. Sebulonsen,RB,25,73,76
Atienza,CDM,26,71,74
S. Mijnans,CAM,25,76,79
S. Lammens,GK,22,81,87
K. Baah,RM,22,68,77
M. Araújo,LM,25,78,79
N. Rovella,CDM,23,79,84
T. Nozawa,GK,22,62,72
D. Dike,ST,25,69,72
Nico González,CDM,23,81,85
L. Badé,CB,25,78,83
A. Morris,CDM,23,74,78
26 E. Noriega,CB,23,67,75
A. Slimane,CAM,24,69,73
A. Adli,ST,25,77,80
J. Nelson,LW,22,68,75
E. Martínez,CDM,25,74,79
25 R. Villagra,CDM,23,74,80
Javi Castro,CB,24,71,78
J. Enciso,CAM,21,75,84
J. Ondrejka,LW,22,73,79
Vitor Carvalho,CDM,28,75,76
Pedrinho,RM,27,74,74
Antony,RW,25,81,82
E. Bayram,CB,22,73,84
J. Doig,LB,23,73,78
S. Welsh,CB,25,68,73
G. Vagiannidis,RB,23,75,81
M. Touré,ST,21,69,76
T. Ducrocq,CDM,25,69,73
R. Williams,CB,24,61,66
O. Deman,LB,25,71,74
S. Esposito,ST,22,75,82
Y. Dukuly,LM,22,62,71
Ș. Târnovanu,GK,25,69,73
F. Tomi,RM,24,65,68
22 A. Gómez,LB,19,63,73
E. Camavinga,CM,22,81,85
J. de Haas,CB,25,75,80
T. Ballo,LM,23,71,77
P. Ekwah,CDM,23,71,78
D. Ramaj,GK,23,75,81
P. Makuch,ST,26,65,66
J. Dina Ebimbe,RM,24,72,75
L. Mbe Soh,CB,24,66,73
B. Cabango,CB,25,72,77
Sergio Camello,ST,24,73,78
A. Hickey,RB,23,75,79
L. Kilian,CB,25,68,69
M. Svoboda,CB,26,72,72
F. Alves,CB,25,69,73
B. De Keersmaecker,CDM,25,71,76
C. Richards,CB,25,79,81
A. Stiller,CDM,24,83,87
Larrazabal,RM,27,71,71
A. Bertaccini,ST,24,76,80
F. Nürnberger,LB,25,71,72
T. Krauß,CDM,24,74,77
B. Johnson,RW,24,79,82
26 Nuno Santos,LM,26,72,73
25 Samuel Lino,LM,24,79,82
I. Van der Brempt,RB,23,72,78
J. Gvardiol,CB,23,85,88
Z. Sanusi,LB,28,70,70
D. Churlinov,LM,24,66,69
D. Schnegg,LB,26,71,71
J. Eccles,CM,25,70,73
Gabriel Martinelli,LW,24,81,84
23 Jeremy,LB,22,62,73
M. Skóraś,LM,25,71,72
L. Chevalier,GK,23,82,86
S. Dest,RB,24,79,83
Q. Timber,CM,24,80,85
S. Botman,CB,25,81,83
Beto,ST,27,76,76
25 Z. Ould Khaled,CDM,24,68,75
Soberón,ST,28,64,64
R. Philippe,ST,24,72,77
A. Colpani,CAM,26,76,76
I. Reyes,RB,25,75,78
L. Krejčí,CB,26,78,81
25 S. Ramos Mingo,CB,22,67,77
Nuno Mendes,LB,23,88,91
T. Chukwuani,CM,22,68,77
M. Brizuela,CB,28,70,70
A. Velasco,LM,22,72,79
E. Millot,CAM,22,78,84
S. Esposito,CDM,24,74,78
Riquelme,LM,25,76,77
M. Kudus,RW,24,81,83
M. Sadílek,CDM,26,77,79
23 Gonçalo Cardoso,CB,21,64,72
L. Barreiro,CM,25,76,79
M. Bauer,CB,25,69,73
U. Yazğılı,CB,26,66,69
M. Talbi,CB,27,75,77
F. Colidio,ST,25,74,75
G. Reyna,CAM,22,73,78
Y. Fofana,CDM,26,81,84
G. Rutter,CAM,23,77,83
W. Ditta,CB,28,77,78
S. Bajic,GK,23,65,70
H. Hassan,RW,23,73,79
P. De la Vega,RM,24,73,76
J. Gelhardt,CAM,23,73,79
G. Bajrami,CB,25,60,62
H. Elliott,CAM,22,78,83
C. Huerta,LW,24,73,75
D. Maeda,LW,27,78,78
25 M. Mudryk,LM,23,77,83
Hugo Guillamón,CM,25,70,73
M. Bidstrup,CDM,24,73,79
Y. Verschaeren,CM,23,72,78
J. Doku,LW,23,83,86
C. Ngonge,RW,25,72,73
Fidalgo,CM,28,77,77
M. Caqueret,CM,25,78,80
A. Okonkwo,GK,23,70,76
Barrenetxea,LW,23,78,83
G. Biancone,CB,25,73,76
S. Abdulhamid,RB,25,76,78
M. Pollock,CB,23,71,77
25 A. Gutiérrez,CM,24,73,78
S. Koita,ST,25,71,74
24 M. Camara,CDM,23,77,82
M. Solomon,LM,25,77,77
T. Buchanan,RM,26,76,76
G. Gaetano,CAM,25,73,76
J. Ramsey,CM,24,77,81
Um Won Sang,RM,26,69,69
A. van der Heide,LM,23,64,70
M. Ihattaren,CAM,23,73,79
L. Scales,CB,26,75,77
J. Widell Zetterström,GK,26,73,76
P. Ševčík,CM,31,67,67
D. Hancko,LB,27,83,83
Fran Navarro,ST,27,74,74
G. Plata,RM,24,78,81
24 L. Hroššo,GK,36,63,63
R. Bellanova,RM,25,77,78
K. Thuram,CM,24,81,85
E. Tapsoba,CB,26,82,83
N. Vesterlund,RB,26,67,70
M. Bogusz,LW,23,73,78
T. Ducrocq,CDM,25,69,73
R. Williams,CB,24,61,66
O. Deman,LB,25,71,74
S. Esposito,ST,22,75,82
Y. Dukuly,LM,22,62,71
T. Blackmon,CB,28,70,71
M. Frendrup,CDM,24,76,80
T. Christensen,CM,25,70,73
I. Meslier,GK,25,71,74
A. Saelemaekers,RM,26,80,80
L. Balerdi,CB,26,80,83
B. Reynolds,RB,24,74,81
T. Mokoena,CDM,28,72,72
24 M. Shabani,CAM,24,62,67
L. Maina,LM,26,73,74
L. Romo,CDM,30,75,75
Hugo Duro,ST,25,77,79
N. Madsen,CDM,25,72,75
L. Pellegrini,LB,26,74,75
T. Leysen,GK,23,71,78
Josep Martínez,GK,27,75,77
Dani Gómez,ST,26,70,71
César Gelabert,CAM,24,74,78
De Frutos,RW,28,81,81
L. Openda,ST,25,82,84
A. Laurienté,LW,26,80,80
N. Morahan,RB,25,59,62
Juan Cruz,RW,25,70,71
K. Lewis-Potter,LB,24,76,79
D. Sanderson,CB,25,69,70
M. Camara,CM,27,77,78
E. Galbraith,RB,24,72,77
B. Nygren,CM,23,74,80
25 N. Radonjić,CAM,28,75,75
K. Scherpen,GK,25,76,80
Chiquinho,CM,29,78,78
D. Spence,LB,24,79,83
Rodrygo,LW,24,84,87
D. Ballard,CB,25,78,80
J. Gauci,GK,24,66,71
L. Costa,CB,24,77,83
A. Lunin,GK,26,80,83
M. Lacroix,CB,25,81,83
24 T. Bonga,ST,26,63,64
25 L. Jephcott,ST,24,59,59
N. Katić,CB,28,72,73
F. Hammar,CDM,24,72,79
J. Burkardt,ST,24,82,85
A. Rrahmani,CB,31,83,83
A. Idah,ST,24,70,74
22 J. Bednarczyk,RM,22,60,67
G. Bushchan,GK,31,74,74
M. Erlić,CB,27,73,74
A. Paločević,CM,31,71,71
S. Sohm,CM,24,74,79
Sancet,CAM,25,82,85
N. Rusyn,ST,26,66,67
Carlos Vicente,RM,26,77,77
Lee Dong Gyeong,CAM,27,75,75
A. Moreno,CDM,26,77,77
L. Ravanelli,CB,28,71,71
G. Tsitaishvili,LM,24,72,75
S. Giménez,ST,24,79,84
M. Kudus,RW,24,81,83
M. Nzola,ST,28,73,73
A. Maciel,CB,28,67,67
A. Gomes,CAM,24,76,81
L. Maloney,CDM,25,72,73
25 C. Merrie,CM,25,60,62
L. Reis,CM,25,72,75
N. De la Cruz,CM,28,76,76
R. Baku,RB,27,79,79
M. O'Riley,CAM,24,77,81
T. Campbell,ST,25,71,74
M. Roffo,GK,25,74,78
L. Sørensen,RB,25,64,67
C. Coventry,CDM,25,69,74
D. Ljubičić,CM,27,73,73
T. Mitchell,LB,25,79,81
M. Payero,CM,26,73,73
M. Cooper,GK,25,73,78
25 B. Galván,RM,23,64,70
A. Meyer,GK,34,74,74
L. Díaz,LM,28,87,87
N. Vlašić,CAM,27,80,80
25 R. Amaral,CAM,27,67,67
J. Paintsil,LM,27,75,75
L. Foster,ST,24,73,75
P. Daka,ST,26,68,68
W. Geubbels,ST,23,72,77
E. Coleman,CDM,25,62,64
J. Koundé,RB,26,86,87
T. Weah,RM,25,77,78
M. Forss,ST,26,67,70
S. Pinas,CB,27,71,71
W. Fitzgerald,LM,26,60,60
C. Barrios,LM,27,72,72
V. Johansson,GK,26,74,76
D. Livaković,GK,30,78,78
P. Rajković,GK,29,77,78
Y. Bisseck,CB,24,76,80
R. Atkinson,CB,26,72,73
M. Retegui,ST,26,82,83
R. Hoffmann,GK,26,72,76
A. Harroui,CM,27,71,71
L. Dietz,CB,28,66,67
D. Foulon,LM,26,72,72
Y. Nazaryna,CM,27,69,69
M. Ashimeru,CM,27,69,69
Igor Silva,RB,28,71,71
H. Morita,CM,30,78,78
M. Lode,CB,32,68,68
A. Layouni,RW,32,72,72
Y. Fofana,GK,24,73,78
M. McKenzie,CB,26,74,77
J. Sands,CDM,24,72,75
J. Campuzano,CDM,29,74,74
A. Irving,CM,25,72,74
Oriol Rey,CM,27,73,73
F. Ortega,LB,26,73,74
Puigmal,RM,24,71,74
M. Barrow,LW,26,79,79
G. Magnani,CB,29,73,73
L. Cacace,LB,24,72,76
B. Kamara,CDM,25,84,86
25 J. Léa Siliki,CM,28,61,61
D. Thiam,GK,27,72,74
K. Denkey,ST,24,76,79
23 C. Gilmour,CM,23,56,62
T. De Smet,LB,27,71,71
L. Verstraete,CDM,26,70,73
Paik Seung Ho,CDM,28,72,72
D. Johnsen,ST,27,71,71
A. Bodart,GK,27,73,75
S. Twine,CAM,25,72,73
D. Muñoz,RB,29,82,82
S. Bueno,CB,26,76,78
Bruno Xadas,CAM,27,74,74
I. Konaté,CB,26,84,85
R. Kolo Muani,ST,26,79,80
P. Foden,CAM,25,85,88
M. Sylla,ST,25,72,75
23 H. Abe,LW,23,63,69
M. Andersen,CM,26,70,71
21 R. Marín,ST,22,59,66
L. Ritzka,LB,27,69,69
P. Estupiñán,LB,27,79,79
K. Danso,CB,26,79,82
25 U. Antuna,RM,26,76,76
A. Guðmundsson,ST,28,78,78
N. Zaniolo,ST,25,75,76
Guridi,CAM,30,73,73
N. Røjkjær,CM,26,73,74
N. Nartey,CM,25,73,76
26 A. Bassi,CAM,27,70,70
F. Al Birekan,ST,25,74,77
K. Schindler,RM,31,70,70
Pedro Neto,RM,25,82,83
R. Dadashov,ST,26,64,65
H. Wright,ST,27,74,74
25 M. Bochnak,RM,26,63,63
L. Daschner,CDM,26,70,71
F. Valverde,CM,26,89,90
C. Antwi-Adjei,LM,31,69,69
J. Clauss,RB,32,78,78
A. Karazor,CDM,28,76,76
L. Koutris,LB,29,69,69
Abel Ruiz,ST,25,72,75
D. de Wit,CAM,27,72,72
N. Lang,LW,26,79,80
Loureiro,CB,28,72,73
K. Appin,CM,27,69,69
Areso,RB,25,76,78
K. Wagner,LB,28,76,76
26 J. Angulo,CB,27,74,77
M. Cuisance,CM,25,72,75
E. Zhegrova,RM,26,79,79
Rúben Dias,CB,28,87,87
O. Kabak,CB,25,76,78
E. Shomurodov,ST,30,75,75
N. Kühn,RW,25,77,78
T. Vancooten,CB,27,65,67
G. Koyalipou,ST,25,72,75
Calero,CB,29,75,75
